,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,punta arenas,40,CL,1579573328,67,-53.15,-70.92,57.2,12.75
1,vaini,20,TO,1579573329,66,-21.2,-175.2,84.2,12.75
2,provideniya,75,RU,1579573330,71,64.38,-173.3,3.2,4.47
3,katsuura,20,JP,1579573332,40,35.13,140.3,57.99,24.16
4,hamilton,90,US,1579573333,68,39.18,-84.53,26.01,4.7
5,ushuaia,75,AR,1579573334,76,-54.8,-68.3,50.0,4.7
6,lokoja,30,NG,1579573335,35,7.8,6.74,74.05,0.83
7,bredasdorp,100,ZA,1579573296,82,-34.53,20.04,66.2,10.29
8,cabedelo,40,BR,1579573337,83,-6.98,-34.83,78.8,4.7
9,goderich,99,CA,1579573326,79,43.75,-81.72,28.99,1.99
10,lompoc,90,US,1579573329,93,34.64,-120.46,57.2,1.81
11,danilov,90,RU,1579573340,94,58.19,40.17,33.8,15.66
12,nizhneyansk,20,HK,1579573315,64,22.29,114.16,69.8,18.34
13,victoria,100,PF,1579573343,81,-22.43,-151.33,79.77,14.47
14,moerai,0,ZA,1579573189,88,-33.93,18.42,68.0,2.24
15,cape town,100,NZ,1579573300,64,-46.19,168.86,73.45,3.47
16,mataura,40,AU,1579573346,60,-28.77,114.6,75.2,23.04
17,geraldton,1,US,1579573347,65,29.95,-91.75,43.0,6.93
18,iberia,0,MX,1579573348,72,16.7,-99.0,83.16,3.76
19,cuautepec,92,RU,1579573312,89,73.51,80.55,-20.63,22.84
20,dikson,1,US,1579573350,45,30.65,-91.16,44.01,6.93
21,artyk,100,PF,1579573289,78,-23.12,-134.97,78.3,10.09
22,zachary,0,MV,1579573352,79,-0.6,73.08,83.14,11.18
23,rikitea,40,AU,1579573353,62,-21.15,149.2,90.0,10.29
24,hithadhoo,98,RU,1579573355,91,52.98,116.92,-5.96,2.68
25,mackay,40,AU,1579573248,78,-42.88,147.33,72.0,14.99
26,bukachacha,75,MU,1579573357,88,-20.52,57.52,80.01,5.73
27,hobart,75,MU,1579573333,88,-20.34,57.76,80.01,10.71
